Ngay,Tinh,Huyen,Xa,Kinh Do,Vi Do
23/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.82833,16.58387
21/05/2019,Quảng Trị,Cam Lộ,Cam Chính,106.92728,16.72049
20/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.88824,16.52387
20/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.87611,16.58841
20/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.82849,16.58652
20/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.82967,16.58797
20/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.87415,16.5904
20/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.87488,16.58669
20/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.83688,16.5969
20/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.89178,16.52831
20/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.87538,16.59211
20/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.85778,16.68864
20/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.85887,16.68995
20/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.84884,16.63349
20/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.84583,16.6023
20/05/2019,Quảng Trị,Đa Krông,Húc Nghì,107.00573,16.47006
20/05/2019,Quảng Trị,Đa Krông,Húc Nghì,107.0102,16.47082
20/05/2019,Quảng Trị,Đa Krông,Húc Nghì,107.01859,16.47605
20/05/2019,Quảng Trị,Đa Krông,Húc Nghì,107.00517,16.47377
20/05/2019,Quảng Trị,Đa Krông,Húc Nghì,107.02914,16.47023
20/05/2019,Quảng Trị,Đa Krông,Tà Long,106.90948,16.58487
20/05/2019,Quảng Trị,Đa Krông,Tà Long,106.90939,16.50838
20/05/2019,Quảng Trị,Đa Krông,Tà Long,106.91011,16.50468
20/05/2019,Quảng Trị,Đa Krông,Tà Long,106.95536,16.51252
20/05/2019,Quảng Trị,Đa Krông,Tà Long,106.91034,16.5812
20/05/2019,Quảng Trị,Đa Krông,Tà Rụt,106.9799,16.45042
20/05/2019,Quảng Trị,Hướng Hóa,Ba Tầng,106.8224,16.54709
20/05/2019,Quảng Trị,Hướng Hóa,Ba Tầng,106.82207,16.55087
20/05/2019,Quảng Trị,Hướng Hóa,Húc,106.80825,16.57655
20/05/2019,Quảng Trị,Hướng Hóa,Húc,106.80685,16.57519
20/05/2019,Quảng Trị,Cam Lộ,Cam Tuyền,106.91258,16.82353
19/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.90019,16.55151
19/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.86182,16.55945
19/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.90387,16.5282
19/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.84402,16.55339
19/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.89969,16.55485
19/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.84351,16.55672
19/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.90024,16.52766
19/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.84382,16.60038
19/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.84787,16.68844
19/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.81892,16.64098
19/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.84019,16.59984
19/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.87657,16.65293
19/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.82805,16.6287
19/05/2019,Quảng Trị,Đa Krông,Tà Long,106.9211,16.5137
19/05/2019,Quảng Trị,Đa Krông,Tà Long,106.92246,16.59832
19/05/2019,Quảng Trị,Đa Krông,Tà Long,106.91128,16.50543
19/05/2019,Quảng Trị,Đa Krông,Tà Long,106.90007,16.59844
19/05/2019,Quảng Trị,Đa Krông,Tà Long,106.90569,16.58563
19/05/2019,Quảng Trị,Đa Krông,Tà Long,106.91547,16.50264
19/05/2019,Quảng Trị,Đa Krông,Tà Rụt,106.96823,16.42638
19/05/2019,Quảng Trị,Hướng Hóa,Húc,106.80167,16.58394
19/05/2019,Quảng Trị,Hướng Hóa,Húc,106.8146,16.57223
19/05/2019,Quảng Trị,Hướng Hóa,Hướng Linh,106.79042,16.72084
19/05/2019,Quảng Trị,Vĩnh Linh,Vĩnh Ô,106.75057,16.90051
19/05/2019,Quảng Trị,Gio Linh,Linh Thượng,106.75112,16.89718
18/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.88624,16.57709
18/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.88644,16.57288
18/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.82664,16.59917
18/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.87134,16.57101
18/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.81693,16.61057
18/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.81277,16.61425
18/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.79298,16.62856
18/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.81285,16.61005
18/05/2019,Quảng Trị,Đa Krông,Tà Long,106.95254,16.56408
18/05/2019,Quảng Trị,Đa Krông,Tà Long,106.91763,16.57251
18/05/2019,Quảng Trị,Đa Krông,Tà Long,106.9136,16.57202
18/05/2019,Quảng Trị,Đa Krông,Tà Long,106.9526,16.56285
18/05/2019,Quảng Trị,Đa Krông,Tà Long,106.90714,16.56275
18/05/2019,Quảng Trị,Đa Krông,Tà Long,106.94804,16.56353
18/05/2019,Quảng Trị,Đa Krông,TT. Krông Klang,106.91251,16.68301
18/05/2019,Quảng Trị,Đa Krông,TT. Krông Klang,106.90883,16.68255
18/05/2019,Quảng Trị,Hướng Hóa,Húc,106.79642,16.59114
18/05/2019,Quảng Trị,Hướng Hóa,Húc,106.80196,16.60446
18/05/2019,Quảng Trị,Hướng Hóa,Hướng Lập,106.52635,16.90573
18/05/2019,Quảng Trị,Hướng Hóa,Hướng Lập,106.52885,16.90526
18/05/2019,Quảng Trị,Hướng Hóa,Hướng Lập,106.52896,16.90553
18/05/2019,Quảng Trị,Hướng Hóa,Hướng Sơn,106.65491,16.75845
18/05/2019,Quảng Trị,Hướng Hóa,Hướng Sơn,106.65096,16.75796
18/05/2019,Quảng Trị,Vĩnh Linh,Vĩnh Ô,106.70736,16.90547
18/05/2019,Quảng Trị,Vĩnh Linh,Vĩnh Ô,106.70351,16.90499
18/05/2019,Quảng Trị,Triệu Phong,Triệu ái,107.05533,16.74345
17/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.85126,16.54837
17/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.89836,16.546
17/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.89418,16.55133
17/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.84715,16.54795
17/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.85239,16.54677
17/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.893,16.55262
17/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.84836,16.54633
17/05/2019,Quảng Trị,Đa Krông,Tà Long,106.91781,16.5539
17/05/2019,Quảng Trị,Đa Krông,Tà Long,106.91323,16.56498
17/05/2019,Quảng Trị,Hướng Hóa,Húc,106.80809,16.57269
17/05/2019,Quảng Trị,Hướng Hóa,Hướng Lập,106.54787,16.88574
17/05/2019,Quảng Trị,Hướng Hóa,Hướng Linh,106.6815,16.72825
17/05/2019,Quảng Trị,Hướng Hóa,Hướng Linh,106.68494,16.72863
17/05/2019,Quảng Trị,Hướng Hóa,Hướng Linh,106.68285,16.72538
17/05/2019,Quảng Trị,Hướng Hóa,Hướng Sơn,106.66452,16.77489
16/05/2019,Quảng Trị,Đa Krông,A Vao,106.95495,16.407703
16/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.84299,16.56789
16/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.84254,16.55763
16/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.8392,16.55551
16/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.83212,16.556524
16/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.84927,16.559519
16/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.83763,16.56097
16/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.84611,16.55836
16/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.84473,16.56247
16/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.84448,16.56381
16/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.83898,16.55691
16/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.84117,16.56172
16/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.83813,16.67677
16/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.86123,16.68723
16/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.83916,16.67495
16/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.82462,16.63933
16/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.86253,16.68564
16/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.78732,16.66067
16/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.84459,16.6763
16/05/2019,Quảng Trị,Đa Krông,Húc Nghì,106.9883,16.46803
16/05/2019,Quảng Trị,Đa Krông,Húc Nghì,106.97047,16.48165
16/05/2019,Quảng Trị,Đa Krông,Húc Nghì,106.98478,16.46731
16/05/2019,Quảng Trị,Đa Krông,Húc Nghì,106.97191,16.48626
16/05/2019,Quảng Trị,Đa Krông,Húc Nghì,106.97553,16.487653
16/05/2019,Quảng Trị,Đa Krông,Húc Nghì,106.9688,16.4856
16/05/2019,Quảng Trị,Đa Krông,Tà Long,106.94762,16.52724
16/05/2019,Quảng Trị,Đa Krông,Tà Long,106.95093,16.52792
16/05/2019,Quảng Trị,Đa Krông,Tà Long,106.93344,16.555027
16/05/2019,Quảng Trị,Đa Krông,Tà Long,106.91006,16.514603
16/05/2019,Quảng Trị,Đa Krông,Tà Long,106.92876,16.559519
16/05/2019,Quảng Trị,Đa Krông,Tà Long,106.91855,16.55581
16/05/2019,Quảng Trị,Đa Krông,Tà Rụt,106.99423,16.460704
16/05/2019,Quảng Trị,Đông Hà,P. 3,107.05318,16.77083
16/05/2019,Quảng Trị,Đông Hà,P. 3,107.05725,16.77024
16/05/2019,Quảng Trị,Vĩnh Linh,Vĩnh Ô,106.78912,16.8946
16/05/2019,Quảng Trị,Hướng Hóa,Ba Tầng,106.81186,16.537061
16/05/2019,Quảng Trị,Gio Linh,Linh Thượng,106.75099,16.89058
15/05/2019,Quảng Trị,Hướng Hóa,Hướng Linh,106.76977,16.6763
15/05/2019,Quảng Trị,Hướng Hóa,Hướng Linh,106.75106,16.703249
15/05/2019,Quảng Trị,Gio Linh,Linh Thượng,106.76042,16.882912
15/05/2019,Quảng Trị,Đa Krông,Đa Krông,106.84459,16.667316
13/05/2019,Quảng Trị,Hướng Hóa,Hướng Phùng,106.60617,16.65511
13/05/2019,Quảng Trị,Hướng Hóa,Tân Thành,106.62989,16.6583
13/05/2019,Quảng Trị,Hướng Hóa,Tân Thành,106.62501,16.65764
13/05/2019,Quảng Trị,Vĩnh Linh,Vĩnh Ô,106.75636,16.90182
13/05/2019,Quảng Trị,Vĩnh Linh,Vĩnh Ô,106.76042,16.900878
12/05/2019,Quảng Trị,Vĩnh Linh,Vĩnh Hà,106.89651,16.97361
12/05/2019,Quảng Trị,Vĩnh Linh,Vĩnh Hà,106.89312,16.97398
12/05/2019,Quảng Trị,Vĩnh Linh,Vĩnh Hà,106.9007,16.972744
12/05/2019,Quảng Trị,Hướng Hóa,Ba Tầng,106.78577,16.50253
12/05/2019,Quảng Trị,Hướng Hóa,Ba Tầng,106.81103,16.50021
12/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.82308,16.55343
12/05/2019,Quảng Trị,Triệu Phong,Triệu An,107.19064,16.900878
08/05/2019,Quảng Trị,Gio Linh,Linh Thượng,106.74313,16.89741
08/05/2019,Quảng Trị,Gio Linh,Trung Hải,107.07236,16.99794
07/05/2019,Quảng Trị,Hướng Hóa,Hướng Sơn,106.65754,16.811047
07/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.87265,16.568502
06/05/2019,Quảng Trị,Hướng Hóa,Hướng Sơn,106.66929,16.82073
06/05/2019,Quảng Trị,Hướng Hóa,Hướng Sơn,106.67624,16.82003
06/05/2019,Quảng Trị,Vĩnh Linh,Vĩnh Long,106.96465,17.06502
05/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.83415,16.55022
05/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.88818,16.56611
05/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.84459,16.550535
05/05/2019,Quảng Trị,Đa Krông,Ba Nang,106.86797,16.581976
05/05/2019,Quảng Trị,Đa Krông,Tà Rụt,106.98512,16.45643
05/05/2019,Quảng Trị,Hướng Hóa,Ba Tầng,106.81653,16.50562
05/05/2019,Quảng Trị,Hướng Hóa,Hướng Lộc,106.73798,16.56274
05/05/2019,Quảng Trị,Hướng Hóa,Hướng Phùng,106.62948,16.725707
05/05/2019,Quảng Trị,Hướng Hóa,Hướng Việt,106.58272,16.864946
05/05/2019,Quảng Trị,Hải Lăng,Hải Lâm,107.19064,16.658333
03/05/2019,Quảng Trị,Đa Krông,A Bung,107.0156,16.34174
03/05/2019,Quảng Trị,Đa Krông,A Bung,107.0156,16.34174
03/05/2019,Quảng Trị,Đa Krông,A Bung,107.0156,16.34174
03/05/2019,Quảng Trị,Đa Krông,A Bung,107.0156,16.34174
03/05/2019,Quảng Trị,Đa Krông,Tà Rụt,107.02763,16.43097
03/05/2019,Quảng Trị,Đa Krông,Tà Rụt,107.02763,16.43097
03/05/2019,Quảng Trị,Đa Krông,Tà Rụt,107.02763,16.43097
03/05/2019,Quảng Trị,Đa Krông,Tà Rụt,107.02763,16.43097
03/05/2019,Quảng Trị,Hướng Hóa,Ba Tầng,106.78168,16.52681
03/05/2019,Quảng Trị,Hướng Hóa,Ba Tầng,106.78168,16.52681
03/05/2019,Quảng Trị,Hướng Hóa,Ba Tầng,106.78168,16.52681
03/05/2019,Quảng Trị,Hướng Hóa,Ba Tầng,106.78168,16.52681
03/05/2019,Quảng Trị,Hải Lăng,Hải Dương,107.32592,16.71127
03/05/2019,Quảng Trị,Hải Lăng,Hải Dương,107.32592,16.71127
03/05/2019,Quảng Trị,Hải Lăng,Hải Dương,107.32592,16.71127
03/05/2019,Quảng Trị,Hải Lăng,Hải Dương,107.32592,16.71127
02/05/2019,Quảng Trị,Đa Krông,A Ngo,106.97656,16.35489
02/05/2019,Quảng Trị,Đa Krông,A Ngo,106.97656,16.35489
02/05/2019,Quảng Trị,Đa Krông,A Ngo,106.97656,16.35489
02/05/2019,Quảng Trị,Đa Krông,A Ngo,106.97656,16.35489
02/05/2019,Quảng Trị,Đa Krông,A Ngo,106.97656,16.35489
02/05/2019,Quảng Trị,Đa Krông,A Ngo,106.97656,16.35489
02/05/2019,Quảng Trị,Đa Krông,A Ngo,106.97553,16.352906
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.9602,16.40051
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.95418,16.42513
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.9602,16.40051
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.95778,16.42559
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.95418,16.42513
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.95418,16.42513
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.95778,16.42559
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.9602,16.40051
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.9602,16.40051
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.95778,16.42559
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.95418,16.42513
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.96617,16.424771
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.95778,16.42559
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.9602,16.40051
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.95418,16.42513
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.95418,16.42513
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.95778,16.42559
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.9602,16.40051
02/05/2019,Quảng Trị,Đa Krông,A Vao,106.95778,16.42559
02/05/2019,Quảng Trị,Hướng Hóa,A Dơi,106.76885,16.46721
02/05/2019,Quảng Trị,Hướng Hóa,A Dơi,106.76885,16.46721
02/05/2019,Quảng Trị,Hướng Hóa,A Dơi,106.76885,16.46721
02/05/2019,Quảng Trị,Hướng Hóa,A Dơi,106.76885,16.46721
02/05/2019,Quảng Trị,Hướng Hóa,A Dơi,106.76885,16.46721
02/05/2019,Quảng Trị,Hướng Hóa,A Dơi,106.76885,16.46721
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9599,16.40303
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.96046,16.40497
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9599,16.40303
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9538,16.41908
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.95418,16.42102
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.96149,16.39941
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9557,16.41556
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9557,16.41556
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9538,16.41908
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.96149,16.39941
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9599,16.40303
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.96046,16.40497
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.95872,16.42011
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.95418,16.42102
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.96046,16.40497
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.95872,16.42011
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9557,16.41556
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9538,16.41908
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9538,16.41908
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.96046,16.40497
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.95872,16.42011
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.96149,16.39941
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9599,16.40303
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.95418,16.42102
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9557,16.41556
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.96149,16.39941
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.95872,16.42011
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9599,16.40303
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.96046,16.40497
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9557,16.41556
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9538,16.41908
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.95418,16.42102
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9557,16.41556
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.96046,16.40497
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.95418,16.42102
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.96149,16.39941
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.95872,16.42011
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9538,16.41908
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9599,16.40303
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9538,16.41908
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.96149,16.39941
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9599,16.40303
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.96046,16.40497
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9557,16.41556
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.95872,16.42011
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.95418,16.42102
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.95418,16.42102
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.96149,16.39941
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.9615,16.411297
30/04/2019,Quảng Trị,Đa Krông,A Vao,106.95872,16.42011
30/04/2019,Quảng Trị,Đa Krông,Ba Nang,106.87277,16.55719
30/04/2019,Quảng Trị,Đa Krông,Ba Nang,106.8839,16.58841
30/04/2019,Quảng Trị,Đa Krông,Ba Nang,106.87277,16.55719
30/04/2019,Quảng Trị,Đa Krông,Ba Nang,106.8839,16.58841
30/04/2019,Quảng Trị,Đa Krông,Ba Nang,106.8839,16.58841
30/04/2019,Quảng Trị,Đa Krông,Ba Nang,106.87277,16.55719
30/04/2019,Quảng Trị,Đa Krông,Ba Nang,106.87277,16.55719
30/04/2019,Quảng Trị,Đa Krông,Ba Nang,106.8839,16.58841
30/04/2019,Quảng Trị,Đa Krông,Ba Nang,106.89135,16.586468
30/04/2019,Quảng Trị,Đa Krông,Ba Nang,106.89135,16.572993
